id,short_name,long_name,overall,age,dob,height_cm,weight_kg,my_team
360,C. Aránguiz,Charles Mariano Aránguiz Sandoval,80,32,1989-04-17,171,68,false
361,Bartra,Marc Bartra Aregall,80,30,1991-01-15,184,73,false
362,Ismaily,Ismaily Gonçalves dos Santos,80,31,1990-01-11,177,86,false
363,João Pedro,João Pedro Geraldino dos Santos Galvão,80,29,1992-03-09,184,73,false
364,M. Hinteregger,Martin Hinteregger,80,28,1992-09-07,184,83,false
365,G. Arias,Gabriel Arias Arroyo,79,33,1987-09-13,188,82,false
366,R. Bensebaini,Ramy Bensebaini,79,26,1995-04-16,186,82,false
367,U. Çakır,Uğurcan Çakır,79,25,1996-04-05,191,82,false
368,A. Golovin,Aleksandr Golovin,79,25,1996-05-30,180,69,false
369,E. Buendía,Emiliano Buendía,79,24,1996-12-25,172,65,false
370,Aritz Elustondo,Aritz Elustondo Irribaria,79,27,1994-03-28,180,71,false
371,M. Thuram,Marcus Lilian Thuram-Ulien,79,23,1997-08-06,192,88,false
372,Pablo Fornals,Pablo Fornals Malla,79,25,1996-02-22,178,67,false
373,Ricardo Horta,Ricardo Jorge da Luz Horta,79,26,1994-09-15,173,63,false
374,D. Sánchez,Davinson Sánchez Mina,79,25,1996-06-12,187,79,false
375,K. Dolberg,Kasper Dolberg Rasmussen,79,23,1997-10-06,187,84,false
376,V. Grifo,Vincenzo Grifo,79,28,1993-04-07,180,76,false
377,P. Onuachu,Paul Ebere Onuachu,79,27,1994-05-28,201,93,false
378,José Sá,José Pedro Malheiro de Sá,79,28,1993-01-17,192,84,false
379,M. Uribe,Andrés Mateus Uribe Villa,79,30,1991-03-21,182,71,false
380,A. Izzo,Armando Izzo,79,29,1992-03-02,183,81,false
381,D. Zappacosta,Davide Zappacosta,79,29,1992-06-11,182,75,false
382,A. Saint-Maximin,Allan Saint-Maximin,79,24,1997-03-12,173,67,false
383,Paulinho,João Paulo Dias Fernandes,79,28,1992-11-09,188,84,false
384,M. Dahoud,Mahmoud Dahoud,79,25,1996-01-01,178,68,false
385,H. Traoré,Hamari Traoré,79,29,1992-01-27,175,71,false
386,C. Gakpo,Cody Mathès Gakpo,79,22,1999-05-07,189,76,false
387,Ronaldo Esler,Ronaldo Diego Esler Domingues,79,21,2000-02-29,168,65,false
388,M. Taremi,Mehdi Taremi,79,28,1992-07-18,187,83,false
389,E. Bardhi,Enis Bardhi,79,25,1995-07-02,172,64,false
390,A. Tchouaméni,Aurélien Tchouaméni,79,21,2000-01-27,187,81,false
391,Emerson,Emerson Aparecido Leite de Souza Junior,79,22,1999-01-14,181,79,false
392,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,79,23,1997-11-16,182,78,false
393,S. Botman,Sven Botman,79,21,2000-01-12,193,81,false
394,J. Bellingham,Jude Victor William Bellingham,79,18,2003-06-29,186,75,false
395,Antony,Antony Matheus dos Santos,79,21,2000-02-24,174,63,false
396,O. Wijndal,Owen Wijndal,79,21,1999-11-28,176,65,false
397,M. Senesi,Marcos Nicolás Senesi Barón,79,24,1997-05-10,183,78,false
398,Y. Bissouma,Yves Bissouma,79,24,1996-08-30,182,80,false
399,Gabri Prestão,Bernard Gabriel Prestão Chaves,79,29,1992-02-29,186,80,false
400,Luimo Boas Santos,Luan Vágner Boas Macedo,79,21,2000-02-29,176,73,false
401,M. Arambarri,Mauro Wilney Arambarri Rosa,79,25,1995-09-30,175,74,false
402,D. Kamada,鎌田 大地,79,24,1996-08-05,184,76,false
403,P. Schick,Patrik Schick,79,25,1996-01-24,191,85,false
404,J. Ikoné,Nanitamo Jonathan Ikoné,79,23,1998-05-02,175,73,false
405,G. Kobel,Gregor Kobel,79,23,1997-12-06,195,88,false
406,Lucas Veríssimo,Lucas Veríssimo da Silva,79,25,1995-07-02,188,77,false
407,K. Demirbay,Kerem Demirbay,79,27,1993-07-03,183,73,false
408,L. Martínez,Lisandro Martínez,79,23,1998-01-18,178,77,false
409,Rubén García,Rubén García Santos,79,27,1993-07-14,171,71,false
410,Gao Late,高拉特,79,30,1991-06-05,185,78,false
411,M. Antonio,Michail Antonio,79,31,1990-03-28,178,82,false
412,M. Silvestri,Marco Silvestri,79,30,1991-03-02,191,80,false
413,C. Wood,Christopher Grant Wood,79,29,1991-12-07,191,92,false
414,A. Cresswell,Aaron Cresswell,79,31,1989-12-15,175,66,false
415,Ai Kesen,艾克森,79,31,1989-07-13,180,77,false
416,Marcos Alonso,Marcos Alonso Mendoza,79,30,1990-12-28,188,85,false
417,Mario Gaspar,Mario Gaspar Pérez Martínez,79,30,1990-11-24,180,77,false
418,L. Rodríguez,Luis Miguel Rodríguez,79,36,1985-01-01,168,71,false
419,X. Shaqiri,Xherdan Shaqiri,79,29,1991-10-10,169,72,false
420,Y. El Arabi,Youssef El Arabi,79,34,1987-02-03,182,84,false
421,B. Mee,Ben Mee,79,31,1989-09-21,180,82,false
422,C. Wilson,Callum Wilson,79,29,1992-02-27,180,66,false
423,A. Candreva,Antonio Candreva,79,34,1987-02-28,180,70,false
424,C. Mbemba,Chancel Mbemba Mangulu,79,26,1994-08-08,182,82,false
425,F. Ribéry,Franck Bilal Ribéry,79,38,1983-04-07,170,72,false
426,B. Costil,Benoît Costil,79,33,1987-07-03,187,82,false
427,B. Gomis,Bafétimbi Fredius Gomis,79,35,1985-08-06,186,86,false
428,M. Dembélé,Mousa Sidi Yaya Dembélé,79,33,1987-07-16,185,85,false
429,B. Matuidi,Blaise Matuidi,79,34,1987-04-09,180,75,false
430,D. Ospina,David Ospina Ramírez,79,32,1988-08-31,183,80,false
431,M. Suárez,Matías Ezequiel Suárez,79,33,1988-05-09,183,75,false
432,M. Özil,Mesut Özil,79,32,1988-10-15,180,71,false
433,N. Guzmán,Nahuel Ignacio Guzmán,79,35,1986-02-10,193,94,false
434,O. Giroud,Olivier Giroud,79,34,1986-09-30,193,91,false
435,Y. M'Vila,Yann Gérard M'Vila,79,31,1990-06-29,182,80,false
436,Rafael Carioca,Rafael de Souza Pereira,79,32,1989-06-18,181,78,false
437,Iniesta,Andrés Iniesta Luján,79,37,1984-05-11,171,68,false
438,Germán,Germán Sánchez Barahona,79,34,1986-10-31,187,82,false
439,R. Ruidíaz,Raúl Mario Ruidíaz Misitich,79,30,1990-07-25,169,66,false
440,T. Stepanenko,Taras Stepanenko,79,31,1989-08-08,181,80,false
441,A. Plea,Alassane Alexandre Pléa,79,28,1993-03-10,181,79,false
442,Manu Trigueros,Manuel Trigueros Muñoz,79,29,1991-10-17,178,75,false
443,C. Günter,Christian Günter,79,28,1993-02-28,184,83,false
444,De Tomás,Raúl De Tomás Gómez,79,26,1994-10-17,180,79,false
445,J. Hofmann,Jonas Hofmann,79,28,1992-07-14,176,73,false
446,J. Quintero,Juan Fernando Quintero Paniagua,79,28,1993-01-18,169,65,false
447,K. Mbabu,Melingo Kevin Mbabu,79,26,1995-04-19,184,83,false
448,Matheus,Matheus Lima Magalhães,79,28,1992-07-19,190,84,false
449,C. Kramer,Christoph Kramer,79,30,1991-02-19,191,76,false
450,C. Coady,Conor Coady,79,28,1993-02-25,186,80,false
451,D. Klaassen,Davy Klaassen,79,28,1993-02-21,179,70,false
452,G. Xhaka,Granit Xhaka,79,28,1992-09-27,185,82,false
453,Deulofeu,Gerard Deulofeu Lázaro,79,27,1994-03-13,177,73,false
454,E. Dier,Eric Dier,79,27,1994-01-15,190,90,false
455,A. Carrillo,André Martín Carrillo Díaz,79,30,1991-06-14,182,78,false
456,M. Cash,Matty Cash,78,23,1997-08-07,179,74,false
457,Gelson Martins,Gelson Dany Batalha Martins,78,26,1995-05-11,173,74,false
458,A. Fulgini,Angelo Fulgini,78,24,1996-08-20,183,71,false
459,G. Rodríguez,Guido Rodríguez,78,26,1995-04-11,185,80,false
460,E. Konsa,Ezri Konsa Ngoyo,78,23,1997-10-23,183,77,false
461,Antônio Chiamuloira,A. Benjamin Chiamuloira Paes,78,21,2000-02-29,182,79,false
462,F. Grillitsch,Florian Grillitsch,78,25,1995-08-07,187,77,false
463,E. Audero,Emil Audero Mulyadi,78,24,1997-01-18,192,83,false
464,Gerson Armão,Gérson Adriano Gutierres Serra,78,21,2000-02-29,186,73,false
465,Wellington Sabrão,Wellingt. Edson Sabrão Rolim,78,33,1988-02-29,169,66,false
466,Vincente Dourado,Vincente Filho Dourado Hermes,78,25,1996-02-29,190,88,false
467,Everticinho,Everton Jorge Simão Resende,78,21,2000-02-29,176,75,false
468,Dani García,Daniel García Carrillo,78,31,1990-05-24,180,81,false
469,Sergio Herrera,Sergio Herrera Pirón,78,28,1993-06-06,192,82,false
470,Arturo Inálcio,Arturo Adolfo Inálcio Dutra,78,21,2000-02-29,170,60,false
471,B. Bourigeaud,Benjamin Bourigeaud,78,27,1994-01-14,178,68,false
472,C. Izquierdoz,Carlos Roberto Izquierdoz,78,32,1988-11-03,185,88,false
473,Ayoze Pérez,Ayoze Pérez Gutiérrez,78,27,1993-07-29,178,72,false
474,S. Fofana,Seko Fofana,78,26,1995-05-07,185,74,false
475,Álex Moreno,Alexandre Moreno Lopera,78,28,1993-06-08,179,68,false
476,S. Gigot,Samuel Gigot,78,27,1993-10-12,187,83,false
477,L. Ajorque,Ludovic Ajorque,78,27,1994-02-25,197,92,false
478,B. Santamaria,Baptiste Santamaría,78,26,1995-03-09,183,73,false
479,R. Borré,Rafael Santos Borré Maury,78,25,1995-09-15,174,70,false
480,L. Olaza,Lucas René Olaza Catrofe,78,26,1994-07-21,175,70,false
481,M. Friedrich,Marvin Friedrich,78,25,1995-12-13,192,81,false
482,R. Karsdorp,Rick Karsdorp,78,26,1995-02-11,184,80,false
483,Á. Mena,Ángel Israel Mena Delgado,78,33,1988-01-21,168,71,false
484,Puado,Javier Puado Díaz,78,23,1998-05-25,177,69,false
485,Fredditinho,Fred Claudinei Tófoli Vilela,78,33,1988-02-29,188,87,false
486,N. De la Cruz,Diego Nicolás De La Cruz Arcosa,78,24,1997-06-01,167,65,false
487,Junior Firpo,Héctor Junior Firpo Adamés,78,24,1996-08-22,184,78,false
488,P. Rajković,Predrag Rajković,78,25,1995-10-31,191,85,false
489,C. Baumgartner,Christoph Baumgartner,78,21,1999-08-01,180,73,false
490,Luis Milla,Luis Milla Manzanares,78,26,1994-10-07,175,67,false
491,De Frutos,Jorge de Frutos Sebastián,78,24,1997-02-20,176,71,false
492,J. David,Jonathan Christian David,78,21,2000-01-14,177,77,false
493,Jovane Cabral,Jovane Eduardo Borges Cabral,78,23,1998-06-14,176,72,false
494,O. Kolář,Ondřej Kolář,78,26,1994-10-17,193,81,false
495,Adama Traoré,Adama Traoré Diarra,78,25,1996-01-25,178,72,false
496,Y. Fofana,Youssouf Fofana,78,22,1999-01-10,176,69,false
497,R. Gravenberch,Ryan Jiro Gravenberch,78,19,2002-05-16,190,79,false
498,M. Greenwood,Mason Greenwood,78,19,2001-10-01,181,70,false
499,M. Caqueret,Maxence Caqueret,78,21,2000-02-15,174,63,false
500,F. Wirtz,Florian Richard Wirtz,78,18,2003-05-03,176,70,false
501,A. Gouiri,Amine Gouiri,78,21,2000-02-16,180,72,false
502,Brahim,Brahim Abdelkader Díaz,78,21,1999-08-03,171,59,false
503,A. Lafont,Alban Lafont,78,22,1999-01-23,196,90,false
504,J. Harrison,Jack Harrison,78,24,1996-11-20,175,70,false
505,W. Endo,遠藤 航,78,28,1993-02-09,178,76,false
506,R. Le Normand,Robin Le Normand,78,24,1996-11-11,187,81,false
507,Y. Herrera,Yangel Clemente Herrera Ravelo,78,23,1998-01-07,184,77,false
508,Domingos Duarte,Domingos Sousa Coutinho Meneses Duarte,78,26,1995-03-03,190,78,false
509,I. Sarr,Ismaïla Sarr,78,23,1998-02-25,185,76,false
510,Luiz Felipe,Luiz Felipe Ramos Marchi,78,24,1997-03-22,187,80,false
511,A. Barák,Antonín Barák,78,26,1994-12-03,190,86,false
512,N. Zaniolo,Nicolò Zaniolo,78,21,1999-07-02,190,79,false
513,N. Lang,Noa Noëll Lang,78,22,1999-06-17,179,69,false
514,F. Fabra,Frank Yusty Fabra Palacios,78,30,1991-02-22,174,86,false
515,A. Westwood,Ashley Westwood,78,31,1990-04-01,175,73,false
516,M. Sissoko,Moussa Sissoko,78,31,1989-08-16,187,91,false
517,G. Kakuta,Gaël Kakuta,78,30,1991-06-21,173,72,false
518,C. Kouyaté,Cheikhou Kouyaté,78,31,1989-12-21,189,83,false
519,F. Caputo,Francesco Caputo,78,33,1987-08-06,181,74,false
520,G. Bonaventura,Giacomo Bonaventura,78,31,1989-08-22,181,75,false
521,Pedro,Pedro Eliezer Rodríguez Ledesma,78,33,1987-07-28,169,65,false
522,S. Coleman,Séamus Coleman,78,32,1988-10-11,177,77,false
523,L. Rodríguez,Luis Alfonso Rodríguez Alanís,78,30,1991-01-21,177,76,false
524,Escudero,Sergio Escudero Palomo,78,31,1989-09-02,176,72,false
525,R. Soriano,Roberto Soriano,78,30,1991-02-08,182,76,false
526,H. Seferović,Haris Seferović,78,29,1992-02-22,189,85,false
527,R. Vormer,Ruud Willem Vormer,78,33,1988-05-11,178,79,false
528,A. Guardado,José Andrés Guardado Hernández,78,34,1986-09-28,169,67,false
529,Pepe Reina,José Manuel Reina Páez,78,38,1982-08-31,188,92,false
530,Negredo,Álvaro Negredo Sánchez,78,35,1985-08-20,186,86,false
531,A. Talavera,Alfredo Talavera Díaz,78,38,1982-09-18,186,85,false
532,F. Quagliarella,Fabio Quagliarella,78,38,1983-01-31,180,79,false
533,L. Koscielny,Laurent Koscielny,78,35,1985-09-10,186,80,false
534,Falcao,Radamel Falcao García Zárate,78,35,1986-02-10,177,72,false
535,V. Moses,Victor Moses,78,30,1990-12-12,177,79,false
536,C. Ansaldi,Cristian Daniel Ansaldi,78,34,1986-09-20,181,76,false
537,K. Boateng,Kevin-Prince Boateng,78,34,1987-03-06,185,86,false
538,Pedro León,Pedro León Sánchez Gil,78,34,1986-11-24,183,73,false
539,A. Oukidja,Alexandre Oukidja,78,32,1988-07-19,184,80,false
540,Miguel Veloso,Miguel Luís Pinto Veloso,78,35,1986-05-11,180,79,false
541,J. Hernández,Javier Hernández Balcázar,78,33,1988-06-01,175,73,false
542,Víctor Ruiz,Víctor Ruíz Torre,78,32,1989-01-25,185,78,false
543,Ángel,Ángel Luís Rodríguez Díaz,78,34,1987-04-26,172,68,false
544,Fransérgio,Fransérgio Rodrigues Barbosa,78,30,1990-10-18,187,82,false
545,R. Steffen,Renato Steffen,78,29,1991-11-03,170,65,false
546,B. Cristante,Bryan Cristante,78,26,1995-03-03,186,80,false
547,R. Saïss,Romain Saïss,78,31,1990-03-26,188,84,false
548,J. Hector,Jonas Hector,78,31,1990-05-27,185,75,false
549,Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,78,28,1992-11-07,180,73,false
550,F. Mollet,Florent Mollet,78,29,1991-11-19,170,67,false
551,R. Ghezzal,Rachid Ghezzal,78,29,1992-05-09,182,70,false
552,P. Bamford,Patrick Bamford,78,27,1993-09-05,185,71,false
553,J. McGinn,John McGinn,78,26,1994-10-18,178,68,false
554,Carles Gil,Carles Gil de Pareja Vicent,78,28,1992-11-02,170,66,false
555,M. Dembélé,Moussa Dembélé,78,24,1996-07-12,183,79,false
556,N. Stanciu,Nicolae Claudiu Stanciu,78,28,1993-05-07,170,63,false
557,T. Mings,Tyrone Mings,78,28,1993-03-13,196,77,false
558,R. Zobnin,Roman Zobnin,78,27,1994-02-11,182,78,false
559,D. Boyata,Anga Dedryck Boyata,78,30,1990-11-28,188,84,false
560,J. Tah,Jonathan Tah,78,25,1996-02-11,195,98,false
561,Moi Gómez,Moisés Gómez Bordonado,78,27,1994-06-23,176,73,false
562,Emerson,Emerson Palmieri dos Santos,78,26,1994-08-03,176,79,false
563,D. Sidibé,Djibril Sidibé,78,28,1992-07-29,182,71,false
564,J. Svensson,Jonas Svensson,78,28,1993-03-06,170,70,false
565,F. Midtsjø,Fredrik Midtsjø,78,27,1993-08-11,176,70,false
566,S. Sosa,Carlos Sebastián Sosa Silva,78,34,1986-08-19,179,79,false
567,D. Vida,Domagoj Vida,78,32,1989-04-29,184,76,false
568,L. Dunk,Lewis Dunk,78,29,1991-11-21,192,88,false
569,H. Vanaken,Hans Vanaken,78,28,1992-08-24,195,80,false
570,S. Ortega,Stefan Ortega Moreno,78,28,1992-11-06,185,88,false
571,Felipe Anderson,Felipe Anderson Pereira Gomes,78,28,1993-04-15,175,70,false
572,J. Vestergaard,Jannik Vestergaard,78,28,1992-08-03,199,96,false
573,P. Kadeřábek,Pavel Kadeřábek,78,29,1992-04-25,182,81,false
574,Héctor Bellerín,Héctor Bellerín Moruno,78,26,1995-03-19,178,74,false
575,D. Suárez,Damián Nicolás Suárez Suárez,78,33,1988-04-27,173,68,false
576,J. Brooks,John Anthony Brooks,78,28,1993-01-28,193,78,false
577,Denis Suárez,Denis Suárez Fernández,78,27,1994-01-06,178,66,false
578,Mário Rui,Mário Rui Silva Duarte,78,30,1991-05-27,170,67,false
579,Sidney Pessinho,Sidney Adrián Pessoa Vidigal,77,29,1992-02-29,187,85,false
580,Nuno Padrenda,Nuno Ailton Padrenda Mendes,77,25,1996-02-29,180,75,false
581,Vieirundinho,Danilo Manuel Vieira Espíndola,77,33,1988-02-29,189,84,false
582,Alexo Baia,Alessandro Baia Marques,77,33,1988-02-29,175,71,false
583,Enzo Chissano,Enzo Leandro Chissano Baia,77,29,1992-02-29,165,62,false
584,Claudio Coíntra,Claudio Nuno Coíntra Calegari,77,25,1996-02-29,174,71,false
585,N. Nández,Nahitan Michel Nández Acosta,77,25,1995-12-28,172,70,false
586,M. Almirón,Miguel Ángel Almirón Rejala,77,27,1994-02-10,174,70,false
587,L. Blas,Ludovic Blas,77,23,1997-12-31,180,70,false
588,R. Perraud,Romain Perraud,77,23,1997-09-22,173,68,false
589,J. Bijlow,Justin Bijlow,77,23,1998-01-22,188,76,false
590,F. Centonze,Fabien Centonze,77,25,1996-01-16,182,75,false
591,J. Ito,伊东 纯也,77,28,1993-03-09,176,66,false
592,Fábio Martins,Fábio Santos Martins,77,27,1993-07-24,180,72,false
593,G. Castrovilli,Gaetano Castrovilli,77,24,1997-02-17,179,72,false
594,O. Pineda,Orbelín Pineda Alvarado,77,25,1996-03-24,169,63,false
595,J. Boga,Jérémie Boga,77,24,1997-01-03,174,72,false
596,J. Larsson,Carl Henrik Jordan Larsson,77,24,1997-06-20,175,68,false
597,J. Andersen,Joachim Christian Andersen,77,25,1996-05-31,192,90,false
598,P. Bernardoni,Paul Jean François Bernardoni,77,24,1997-04-18,190,78,false
599,J. Omlin,Jonas Omlin,77,27,1994-01-10,189,80,false
600,G. Dzhikiya,Georgiy Dzhikiya,77,27,1993-11-21,188,86,false
601,Z. Ferhat,Zinedine Ferhat,77,28,1993-03-01,183,70,false
602,Unai López,Unai López Cabrera,77,25,1995-10-30,170,69,false
603,M. Holgate,Mason Holgate,77,24,1996-10-22,184,75,false
604,E. Skhiri,Ellyes Joris Skhiri,77,26,1995-05-10,185,73,false
605,Rubén Duarte,Rubén Duarte Sánchez,77,25,1995-10-18,180,75,false
606,A. Rossi,Agustín Daniel Rossi,77,25,1995-08-21,195,95,false
607,B. Romero,Braian Ezequiel Romero,77,30,1991-06-15,178,73,false
608,M. Marega,Moussa Marega,77,30,1991-04-14,183,83,false
609,Pedraza,Alfonso Pedraza Sag,77,25,1996-04-09,184,73,false
610,M. Rashica,Milot Rashica,77,25,1996-06-28,177,73,false
611,Y. Soteldo,Yeferson Julio Soteldo Martínez,77,24,1997-06-30,158,55,false
612,L. Romo,Luis Francisco Romo Barrón,77,26,1995-06-05,182,84,false
613,A. Bayındır,Altay Bayındır,77,23,1998-04-14,198,73,false
614,B. Sosa,Borna Sosa,77,23,1998-01-21,187,79,false
615,D. McNeil,Dwight McNeil,77,21,1999-11-22,183,70,false
616,I. Meslier,Illan Meslier,77,21,2000-03-02,196,74,false
617,E. Reynoso,Emanuel Reynoso,77,25,1995-11-16,176,67,false
618,A. Nwakaeme,Anthony Nuatuzor Nwakaeme,77,32,1989-03-21,185,80,false
619,M. Damsgaard,Mikkel Krogh Damsgaard,77,20,2000-07-03,180,71,false
620,S. Tonali,Sandro Tonali,77,21,2000-05-08,181,79,false
621,Gorosabel,Andoni Gorosabel Espinosa,77,24,1996-08-04,174,70,false
622,L. Suárez,Luis Javier Suárez Charris,77,23,1997-12-02,185,74,false
623,G. Reyna,Giovanni Alejandro Reyna,77,18,2002-11-13,185,79,false
624,Arthur Cabral,Arthur Mendonça Cabral,77,23,1998-04-25,186,89,false
625,J. Doku,Jérémy Doku,77,19,2002-05-27,171,60,false
626,Ibañez,Roger Ibañez Da Silva,77,22,1998-11-23,185,73,false
627,T. Holeš,Tomáš Holeš,77,28,1993-03-31,180,73,false
628,S. Weissman,Shon Zalman Weissman,77,25,1996-02-14,174,79,false
629,A. Musrati,Almoatasembellah Ali Mohamed Al musrati,77,25,1996-04-06,189,83,false
630,J. Veerman,Joey Veerman,77,22,1998-11-19,185,75,false
631,N. Madueke,Chukwunonso Tristan Madueke,77,19,2002-03-10,182,70,false
632,M. Oršić,Mislav Oršić,77,28,1992-12-29,179,69,false
633,N. González,Nicolás Iván González,77,23,1998-04-06,180,72,false
634,V. Rosier,Valentin André Henri Rosier,77,24,1996-08-19,175,75,false
635,Salvi Sánchez,Salvador Sánchez Ponce,77,30,1991-03-30,175,64,false
636,F. Müller,Florian Müller,77,23,1997-11-13,190,88,false
637,I. Sangaré,Ibrahim Sangaré,77,23,1997-12-02,191,77,false
638,E. Álvarez,Edson Omar Álvarez Velázquez,77,23,1997-10-24,187,73,false
639,C. Ünder,Cengiz Ünder,77,23,1997-07-14,173,66,false
640,F. Bustos,Fabricio Bustos Sein,77,25,1996-04-28,167,66,false
641,Douglas Luiz,Douglas Luiz Soares de Paulo,77,23,1998-05-09,175,66,false
642,F. Gorriarán,Fernando Gorriarán Fontes,77,26,1994-11-27,168,68,false
643,C. Stengs,Calvin Stengs,77,22,1998-12-18,187,68,false
644,D. Szoboszlai,Dominik Szoboszlai,77,20,2000-10-25,186,74,false
645,M. Terrier,Martin Terrier,77,24,1997-03-04,184,73,false
646,M. Camara,Mohamed Mady Camara,77,24,1997-02-28,182,75,false
647,T. Malacia,Tyrell Malacia,77,21,1999-08-17,169,67,false
648,Wilson Manafá,Wilson Miguéis Manafá Jancó,77,26,1994-07-23,177,69,false
649,J. Clauss,Jonathan Clauss,77,28,1992-09-25,178,67,false
650,Galeno,Wenderson Rodrigues do Nascimento Galeno,77,23,1997-10-22,179,62,false
651,J. Lascelles,Jamaal Lascelles,77,27,1993-11-11,188,83,false
